"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss31_14","-77.15","1.54","1.1","-0.55","-2.41","-2.35","-0.26","0.32","-2.02","-2.75","-0.99","1.69","1.16","0.42","0.25","0.22","0.7","2.34","3.43","3.03","2.73","1.79","-0.26","-2.79","-2.9","-2.67"
"length_rss31_15","-62.79","2.04","1.55","0.23","0.01","-2.07","-2.2","1.57","3.16","2.53","2.25","1.43","1.1","0.39","0.9","0.54","-0.77","-1.05","-0.02","1.99","1.47","-0.65","-2.51","-4.0","-4.85","-5.77"
"length_rss31_16","-54.28","-1.32","-0.86","-0.33","4.07","2.58","-1.24","-2.0","-0.74","-0.39","-1.61","-0.39","1.44","1.24","0.52","-1.36","-1.23","-2.5","-2.42","0.1","0.73","0.96","0.95","1.26","0.84","0.08"
"length_rss31_17","-56.28","-3.6","-4.41","-2.51","-0.99","-4.16","-6.18","-5.73","-4.5","-2.66","-3.11","-2.82","-2.36","-1.81","-2.38","-3.43","-1.0","2.76","3.33","4.2","5.88","6.57","5.66","6.57","8.6","8.69"
"length_rss31_18","-61.0","-2.19","-3.03","-1.89","-0.75","-0.23","-1.25","-0.8","-0.78","-0.18","-0.85","-1.06","0.34","0.13","-0.28","0.66","-0.27","0.73","1.08","0.68","1.51","1.2","1.05","1.15","2.8","3.01"
"length_rss31_19","-82.26","-0.55","-0.05","-0.05","-0.45","-1.61","-2.23","-2.76","-2.96","-1.94","-1.53","-1.15","-0.81","-1.01","-0.43","-0.07","0.15","1.4","2.4","3.03","2.02","1.55","0.71","0.92","2.06","3.14"
"length_rss31_20","-61.34","-3.64","1.58","-0.72","-2.57","-1.21","-1.52","-3.03","-2.8","-1.11","0.13","-0.72","-1.91","-1.8","-1.03","-1.15","-1.01","-0.32","1.25","1.98","2.76","4.08","3.07","2.36","2.71","3.96"
"length_rss32_1","-74.55","-3.37","-1.71","-1.0","-2.6","-1.71","-0.86","-2.85","-3.74","-3.52","-2.95","-2.1","-2.42","-3.02","-2.16","1.71","3.16","3.14","4.01","3.3","2.43","1.93","2.79","3.61","3.43","2.73"
"length_rss32_2","-79.1","-0.25","0.54","1.21","-0.44","-0.96","-1.16","-0.39","0.66","0.72","2.13","2.27","2.06","1.04","0.42","0.28","-0.09","0.23","-1.37","-2.01","-1.07","-1.68","-2.4","-1.82","-0.02","0.44"
"length_rss32_3","-83.76","-5.4","-5.61","-4.56","-0.57","-0.15","-0.55","0.44","1.03","0.79","-0.6","-1.79","-0.61","0.62","0.46","1.72","1.45","0.73","0.77","0.79","1.82","1.21","1.42","2.84","2.46","1.29"
